,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
2812749,ENKF,468.96845543166273,3.586882147232454,12,2020-12-07,2020-12-19,2-step_ahead,12113,841.0,461.9382956062974,464.371681000453,466.5491401881931,468.96845543166273,471.3877706751323,473.56522986287246,475.99861525702806,368.7270505681089
2812750,ENKF,596.980760550432,2.390801694219242,12,2020-12-14,2020-12-19,1-step_ahead,12113,841.0,592.2948753355851,593.9168248962986,595.3681893129298,596.980760550432,598.5933317879343,600.0446962045653,601.6666457652792,241.81666085066442
2812751,lstm,629.1693658447266,113.64383519677942,12,2020-11-23,2020-12-19,4-step_ahead,12113,841.0,406.43154179403365,483.52893093380135,552.5177638315262,629.1693658447266,705.8209678579269,774.8098007556517,851.9071898954196,110.25009361582228
2812752,lstm,587.8506072998048,79.9170424068503,12,2020-11-30,2020-12-19,3-step_ahead,12113,841.0,431.216082431418,485.4327964896116,533.9473813303987,587.8506072998048,641.7538332692109,690.268418109998,744.4851321681915,179.52406119795947
2812753,lstm,628.1172607421875,78.39779419135945,12,2020-12-07,2020-12-19,2-step_ahead,12113,841.0,474.46040765973953,527.6464448610074,575.2387521221336,628.1172607421875,680.9957693622413,728.5880766233678,781.7741138246353,140.6570485597278
2812754,lstm,763.4264410400391,125.52112738032145,12,2020-12-14,2020-12-19,2-step_ahead,12113,841.0,517.4095520757446,602.5646437368648,678.7637271889555,763.4264410400391,848.0891548911227,924.2882383432132,1009.4433300043337,35.883240089820525
2888807,AR_spatial,593.0793157314963,78.89823475327958,12,2020-12-07,2020-12-12,1-step_ahead,12113,766.0,438.4416171712819,491.9671594647255,539.8632650818448,593.0793157314963,646.2953663811478,694.1914719982672,747.7170142917108,100.23395170551906
2888808,AR_spatial,442.90797446398767,53.255170249234546,12,2020-11-30,2020-12-12,2-step_ahead,12113,766.0,338.5297587849389,374.6587276577369,406.9879079859317,442.90797446398767,478.8280409420437,511.1572212702383,547.2861901430364,274.0295296562624
2888809,AR_spatial,439.236733462912,57.81084746672133,12,2020-11-23,2020-12-12,3-step_ahead,12113,766.0,325.92955451239965,365.14915138647524,400.24390939645934,439.236733462912,478.2295575293647,513.3243155393488,552.5439124134243,273.50375290927013
2888810,AR_spatial,321.4586168252837,34.95582433301164,12,2020-11-16,2020-12-12,4-step_ahead,12113,766.0,252.94646008267202,276.6609254264106,297.8812716030125,321.4586168252837,345.0359620475548,366.2563082241568,389.9707735678954,412.3375618502263
2888811,AR,494.14253759536797,31.03346411231291,12,2020-12-07,2020-12-12,1-step_ahead,12113,766.0,433.3180656197184,454.3715530779612,473.21078413853485,494.14253759536797,515.0742910522008,533.9135221127748,554.9670095710176,243.2672016277152
2888812,AR,325.9968916010938,15.871589535870127,12,2020-11-30,2020-12-12,2-step_ahead,12113,766.0,294.88914773338564,305.65663118371816,315.29166713983,325.9968916010938,336.7021160623576,346.33715201846945,357.10463546880203,425.3810577592333
2888813,AR,361.0124286139482,17.216565480775078,12,2020-11-23,2020-12-12,3-step_ahead,12113,766.0,327.2685803341535,338.94851216875975,349.40003166358576,361.0124286139482,372.6248255643105,383.0763450591367,394.7562768937429,389.1264321011556
2888814,AR,255.15231673808444,11.52094086015208,12,2020-11-16,2020-12-12,4-step_ahead,12113,766.0,232.57168758417046,240.3876369422097,247.38156021529664,255.15231673808444,262.9230732608723,269.9169965339591,277.73294589199844,500.2337633206836
2888815,ARIMA,322.57387039512736,296.33020130485363,12,2020-11-16,2020-12-12,4-step_ahead,12113,766.0,0.0,0.0,122.70218694146205,322.57387039512736,522.4455538487928,702.3363037955091,903.3703924841444,206.1956968790348
2888816,ARIMA,733.8393797651262,102.64831482692286,12,2020-12-07,2020-12-12,1-step_ahead,12113,766.0,532.6523796306285,602.2902711981683,664.6041435394662,733.8393797651262,803.0746159907861,865.3884883320842,935.026379899624,24.8763142715381
2888817,ARIMA,366.4448225250399,224.78340373226,12,2020-11-30,2020-12-12,2-step_ahead,12113,766.0,0.0,78.37329956351812,214.83072069344288,366.4448225250399,518.0589243566369,654.5163454865617,807.012198162596,203.65685124469982
