,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
1287088,AR,1347.3958025729335,140.879828923796,36,2021-05-10,2021-05-15,1-step_ahead,36055,1283.0,1071.2764117341292,1166.8510372619874,1252.3738019544555,1347.3958025729335,1442.4178031914114,1527.9405678838798,1623.5151934117378,37.03537834281004
1287089,AR,1563.9046988542734,194.17691875573126,36,2021-05-03,2021-05-15,2-step_ahead,36055,1283.0,1183.32493146408,1315.0569646302392,1432.9343574288755,1563.9046988542734,1694.8750402796713,1812.752433078308,1944.4844662444668,130.49353640379056
1287090,AR,1831.0484854924289,128.94420135649207,36,2021-04-26,2021-05-15,3-step_ahead,36055,1283.0,1578.3224948184234,1665.7998423761182,1744.076943330255,1831.0484854924289,1918.0200276546022,1996.2971286087395,2083.774476166434,429.2558064311601
1287091,AR,1848.4496516875288,218.4655617337086,36,2021-04-19,2021-05-15,4-step_ahead,36055,1283.0,1420.2650188271482,1568.4747690301142,1701.096869527313,1848.4496516875288,1995.8024338477449,2128.424534344944,2276.634284547909,364.1834521379856
1287092,ARIMA,1476.7160043282934,563.442895419727,36,2021-04-26,2021-05-15,3-step_ahead,36055,1283.0,372.3882219606601,754.6348796081596,1096.6795465468847,1476.7160043282934,1856.752462109702,2198.797129048427,2581.0437866959264,139.00252717635982
1287093,ARIMA,1578.8706345504265,421.4378204714354,36,2021-05-03,2021-05-15,2-step_ahead,36055,1283.0,752.8676847033563,1038.7763359455544,1294.615144297467,1578.8706345504265,1863.126124803386,2118.9649331552987,2404.873584397497,128.85634683213942
1287094,ARIMA,1691.386983826536,819.5801746605049,36,2021-04-19,2021-05-15,4-step_ahead,36055,1283.0,85.03935904889931,641.0527279010489,1138.588556554111,1691.386983826536,2244.1854110989607,2741.721239752023,3297.7346086041725,220.2791251352742
1287095,ARIMA,1277.8592019920916,148.86080156022962,36,2021-05-10,2021-05-15,1-step_ahead,36055,1283.0,986.0973922242777,1087.086408704355,1177.4541171337441,1277.8592019920916,1378.2642868504392,1468.6319952798278,1569.6210117599053,30.14731159401884
1287096,PatchSim_adpt,1108.0,108.04846938775516,36,2021-05-10,2021-05-15,1-step_ahead,36055,1283.0,896.2288914153212,969.5303149014244,1035.122414873584,1108.0,1180.877585126416,1246.4696850985754,1319.7711085846786,85.96400422490446
1287097,PatchSim_adpt,1029.0,291.6836734693879,36,2021-05-03,2021-05-15,2-step_ahead,36055,1283.0,457.3105051216585,655.1923316215059,832.2623519453571,1029.0,1225.737648054643,1402.8076683784939,1600.6894948783413,110.27919554065555
